State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
MANIPUR,Senapati,185725,10225,37672,20642,254264
MANIPUR,Tamenglong ,55979,2255,12441,7510,78185
MANIPUR,Churachandpur,89779,5399,27477,13018,135673
MANIPUR,Bishnupur,76423,7470,26044,13927,123864
MANIPUR,Thoubal,133428,14159,47732,28774,224093
MANIPUR,Imphal West,166009,9257,38121,20399,233786
MANIPUR,Imphal East,145343,9100,40405,23490,218338
MANIPUR,Ukhrul,67724,5711,14494,7884,95813
MANIPUR,Chandel,53753,6640,15845,7217,83455
