State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
MIZORAM,Mamit,36185,524,2630,586,39925
MIZORAM,Kolasib,29697,1262,5713,2357,39029
MIZORAM,Aizawl,151410,5111,18115,7281,181917
MIZORAM,Champhai,53111,1959,5272,2232,62574
MIZORAM,Serchhip,29838,662,1897,1033,33430
MIZORAM,Lunglei,62013,5819,10460,5065,83357
MIZORAM,Lawngtlai,38082,1305,6179,2398,47964
MIZORAM,Saiha,14694,1309,3458,974,20435
