State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
MEGHALAYA,West Garo Hills,188371,13263,54059,20937,276630
MEGHALAYA,East Garo Hills,83936,9434,32703,7003,133076
MEGHALAYA,South Garo Hills,38397,3057,11615,3822,56891
MEGHALAYA,West Khasi Hills,119803,9766,33776,17482,180827
MEGHALAYA,Ribhoi,90875,3652,11946,6814,113287
MEGHALAYA,East Khasi Hills,289576,7503,29707,15813,342599
MEGHALAYA,Jaintia Hills,110617,8008,35555,23200,177380
